Pizza No.,Order Date,Order Time,Ord - Del time,Order Receipt (mins), Base prep (mins), Styling (mins), Cooking Time (mins),Boxing (mins),Delivery (mins),Oven Temp ºC,Order Mode,Size,Area,Order Taker,Dough Prep,Stylist,Oven,Boxer,Deliverer,Cust. complaint,Reason,,,,,,,
3473,30/03/2018,23:30:56,43.3,0.69,3.28,0.46,6.28,0.46,32.1,241.5,Phone,Small,B,Dineo,Tau,Jim,Chilli,Bongani,Jeff,No,,,,,,,,
3474,30/03/2018,23:31:24,42.9,0.37,3.39,0.53,6.42,0.53,31.7,286.6,Phone,Family,D,Dineo,Tau,Jim,Chilli,Bongani,Mary,yes,Too Doughy,,,,,,,
3475,30/03/2018,23:33:26,41.9,0.62,3.36,0.59,6.52,0.59,30.2,242.8,Phone,Medium,C,Dineo,Tau,Jim,Chilli,Bongani,Kone,No,,,,,,,,
3476,30/03/2018,23:37:41,49.7,0.72,3.41,0.46,6.44,0.46,38.2,247.5,App,Small,E,Dineo,Tau,Jim,Chilli,Bongani,Jeff,No,,,,,,,,
3477,30/03/2018,23:45:32,47.3,0.77,3.18,0.50,6.45,0.50,35.9,242.4,App,Small,E,Dineo,Tau,Jim,Chilli,Bongani,Mary,No,,,,,,,,
3478,30/03/2018,23:49:08,46.8,0.56,3.22,0.47,6.38,0.47,35.7,244.2,App,Small,E,Dineo,Tau,Jim,Chilli,Bongani,Kone,No,,,,,,,,
3479,30/03/2018,23:50:14,42.0,0.58,3.16,0.42,6.67,0.42,30.7,245.4,Phone,Small,A,Dineo,Tau,Jim,Chilli,Bongani,Jeff,No,,,,,,,,
3480,30/03/2018,23:55:10,50.0,0.81,3.37,0.48,7.11,0.48,37.7,277.2,App,Large,E,Dineo,Tau,Jim,Curry,Bongani,Mary,No,,,,,,,,
3481,30/03/2018,23:55:40,53.3,0.90,3.35,0.39,6.73,0.39,41.5,247.8,Phone,Small,E,Dineo,Tau,Jim,Chilli,Bongani,Kone,No,,,,,,,,
3482,30/03/2018,23:56:55,50.9,0.78,3.42,0.60,6.55,0.60,39.0,244.4,Phone,Medium,E,Dineo,Tau,Jim,Chilli,Bongani,Jeff,No,,,,,,,,
3483,30/03/2018,23:57:51,38.7,0.85,3.20,0.67,6.78,0.67,26.5,274.6,Phone,Large,A,Dineo,Tau,Jim,Curry,Bongani,Mary,No,,,,,,,,
3484,30/03/2018,23:59:57,43.4,0.87,3.34,0.57,6.96,0.57,31.1,279.3,Phone,Large,B,Dineo,Tau,Jim,Curry,Bongani,Kone,No,,,,,,,,
3485,31/03/2018,12:09:22,47.0,0.94,3.44,0.49,6.94,0.49,34.7,273.4,Phone,Large,B,Dineo,Vivaan,Tsepo,Curry,Bongani,Jeff,No,,,,,,,,
3486,31/03/2018,12:13:51,37.5,0.80,3.52,0.53,6.92,0.53,25.2,275.7,App,Large,A,Dineo,Vivaan,Tsepo,Curry,Bongani,Mary,No,,,,,,,,
3487,31/03/2018,12:26:58,56.3,0.60,3.56,0.47,6.66,0.47,44.5,277.2,App,Large,E,Dineo,Vivaan,Tsepo,Curry,Bongani,Kone,No,,,,,,,,
3488,31/03/2018,12:27:46,41.3,0.75,3.30,0.44,7.44,0.44,28.9,289.9,Phone,Family,D,Dineo,Vivaan,Tsepo,Wasabi,Bongani,Jeff,No,,,,,,,,
3489,31/03/2018,12:34:07,38.4,0.96,3.28,0.35,7.55,0.35,25.9,288.6,Phone,Family,C,Dineo,Vivaan,Tsepo,Wasabi,Bongani,Mary,yes,Wrong Size,,,,,,,
3490,31/03/2018,12:39:02,40.1,0.72,3.52,0.57,7.13,0.57,27.6,283.6,App,Family,A,Dineo,Vivaan,Tsepo,Wasabi,Bongani,Kone,No,,,,,,,,
3491,31/03/2018,12:42:03,46.4,0.53,3.47,0.52,7.39,0.52,33.9,291.6,Phone,Family,D,Dineo,Vivaan,Tsepo,Wasabi,Bongani,Jeff,No,,,,,,,,
3492,31/03/2018,12:43:55,43.0,0.88,3.15,0.40,6.75,0.40,31.4,277.8,App,Large,E,Dineo,Vivaan,Tsepo,Curry,Bongani,Mary,No,,,,,,,,
3493,31/03/2018,12:50:11,47.6,0.71,3.39,0.45,7.08,0.45,35.5,280.0,App,Large,B,Dineo,Vivaan,Tsepo,Curry,Bongani,Kone,No,,,,,,,,
3494,31/03/2018,12:50:51,43.8,0.73,3.19,0.60,6.34,0.60,32.3,247.3,Phone,Small,E,Dineo,Vivaan,Tsepo,Chilli,Bongani,Jeff,No,,,,,,,,
3495,31/03/2018,12:51:07,50.3,0.82,3.27,0.42,6.39,0.42,39.0,247.0,Phone,Small,E,Dineo,Vivaan,Tsepo,Chilli,Bongani,Mary,No,,,,,,,,
3496,31/03/2018,12:58:21,37.0,0.91,3.44,0.50,6.89,0.50,24.8,276.7,App,Large,A,Dineo,Vivaan,Tsepo,Curry,Bongani,Kone,No,,,,,,,,
3497,31/03/2018,13:00:57,36.6,0.47,3.30,0.42,6.58,0.42,25.4,239.8,Phone,Small,A,Dineo,Vivaan,Tsepo,Chilli,Bongani,Jeff,No,,,,,,,,
3498,31/03/2018,13:11:08,43.4,0.72,3.16,0.46,6.83,0.46,31.8,244.1,Phone,Medium,B,Dineo,Vivaan,Tsepo,Chilli,Bongani,Mary,No,,,,,,,,
3499,31/03/2018,13:20:03,38.2,0.82,3.41,0.42,6.87,0.42,26.2,278.9,App,Large,B,Dineo,Vivaan,Tsepo,Curry,Bongani,Kone,No,,,,,,,,
3500,31/03/2018,13:21:25,55.2,0.97,3.40,0.47,6.30,0.47,43.6,245.8,Phone,Small,E,Dineo,Vivaan,Tsepo,Chilli,Bongani,Jeff,No,,,,,,,,
3501,31/03/2018,13:23:53,44.8,0.71,3.26,0.54,7.17,0.54,32.6,287.1,App,Family,E,Dineo,Vivaan,Tsepo,Wasabi,Bongani,Mary,No,,,,,,,,
3502,31/03/2018,13:32:46,39.8,0.72,3.50,0.41,7.29,0.41,27.5,285.6,App,Family,A,Dineo,Vivaan,Tsepo,Wasabi,Bongani,Kone,No,,,,,,,,
3503,31/03/2018,13:34:57,38.9,0.84,3.49,0.58,6.75,0.58,26.7,280.7,App,Large,A,Dineo,Vivaan,Tsepo,Curry,Bongani,Jeff,No,,,,,,,,
3504,31/03/2018,13:35:19,36.9,0.51,3.33,0.46,6.67,0.46,25.4,242.9,Phone,Medium,B,Dineo,Vivaan,Tsepo,Chilli,Bongani,Mary,No,,,,,,,,
3505,31/03/2018,13:35:30,40.7,0.80,3.61,0.41,7.30,0.41,28.2,277.8,Phone,Large,A,Dineo,Vivaan,Tsepo,Curry,Bongani,Kone,No,,,,,,,,
3506,31/03/2018,13:38:31,46.7,0.75,3.25,0.50,6.79,0.50,34.9,246.2,App,Medium,B,Dineo,Vivaan,Tsepo,Chilli,Bongani,Jeff,No,,,,,,,,
3507,31/03/2018,13:42:03,47.0,0.81,3.64,0.43,6.30,0.43,35.4,246.2,App,Medium,B,Dineo,Vivaan,Tsepo,Chilli,Bongani,Mary,No,,,,,,,,
3508,31/03/2018,13:50:22,36.9,0.46,3.12,0.60,6.46,0.60,25.7,240.6,Phone,Small,A,Dineo,Vivaan,Tsepo,Chilli,Bongani,Kone,No,,,,,,,,
3509,31/03/2018,13:52:03,44.9,0.87,3.57,0.37,7.06,0.37,32.7,275.4,Phone,Large,E,Dineo,Vivaan,Tsepo,Curry,Bongani,Kone,No,,,,,,,,
3510,31/03/2018,14:10:06,41.3,0.86,3.57,0.45,7.44,0.45,28.5,284.9,App,Family,A,Dineo,Vivaan,Tsepo,Wasabi,Bongani,Jeff,No,,,,,,,,
3511,31/03/2018,14:12:43,39.3,0.69,3.34,0.46,6.99,0.46,27.4,243.6,Phone,Medium,D,Dineo,Vivaan,Tsepo,Chilli,Bongani,Mary,No,,,,,,,,
3512,31/03/2018,14:13:00,40.8,0.65,3.28,0.47,6.88,0.47,29.1,240.4,App,Medium,D,Dineo,Vivaan,Tsepo,Chilli,Bongani,Kone,No,,,,,,,,
3513,31/03/2018,14:14:18,52.3,0.71,3.27,0.46,6.27,0.46,41.2,247.2,App,Small,C,Dineo,Vivaan,Tsepo,Chilli,Bongani,Jeff,yes,Too Doughy,,,,,,,
3514,31/03/2018,14:20:45,39.2,0.91,3.25,0.54,7.00,0.54,26.9,278.4,App,Large,A,Dineo,Vivaan,Tsepo,Curry,Bongani,Mary,No,,,,,,,,
3515,31/03/2018,14:23:01,36.3,0.70,3.27,0.44,6.66,0.44,24.8,241.4,App,Small,B,Dineo,Vivaan,Tsepo,Chilli,Bongani,Kone,No,,,,,,,,
3516,31/03/2018,14:44:52,44.3,0.86,3.15,0.56,6.33,0.56,32.9,243.9,Phone,Small,E,Dineo,Vivaan,Tsepo,Chilli,Bongani,Jeff,No,,,,,,,,
3517,31/03/2018,14:48:13,49.5,0.95,3.58,0.49,6.92,0.49,37.1,277.0,App,Large,E,Dineo,Vivaan,Tsepo,Curry,Bongani,Mary,No,,,,,,,,
3518,31/03/2018,14:50:11,44.0,0.95,3.12,0.51,6.73,0.51,32.1,246.8,Phone,Medium,E,Dineo,Vivaan,Tsepo,Chilli,Bongani,Kone,No,,,,,,,,
3519,31/03/2018,14:55:49,41.3,0.65,3.15,0.39,6.69,0.39,30.1,281.1,App,Large,A,Dineo,Vivaan,Tsepo,Curry,Bongani,Jeff,No,,,,,,,,
3520,31/03/2018,14:58:49,41.6,0.36,3.20,0.49,7.40,0.49,29.6,291.4,Phone,Family,A,Dineo,Vivaan,Tsepo,Wasabi,Bongani,Mary,No,,,,,,,,
3521,31/03/2018,15:05:25,50.7,0.57,3.54,0.39,7.10,0.39,38.7,291.4,App,Family,E,Dineo,Vivaan,Tsepo,Wasabi,Bongani,Kone,No,,,,,,,,
3522,31/03/2018,15:06:31,50.2,0.83,3.39,0.48,7.07,0.48,37.9,282.5,Phone,Family,E,Dineo,Vivaan,Tsepo,Wasabi,Bongani,Jeff,No,,,,,,,,
3523,31/03/2018,15:10:22,36.4,0.67,3.11,0.45,6.60,0.45,25.1,247.5,Phone,Small,B,Dineo,Vivaan,Tsepo,Chilli,Bongani,Mary,No,,,,,,,,
3524,31/03/2018,15:12:28,44.3,0.82,3.54,0.38,6.72,0.38,32.5,274.4,App,Large,D,Dineo,Vivaan,Tsepo,Curry,Bongani,Kone,No,,,,,,,,
3525,31/03/2018,15:20:20,52.7,0.71,3.39,0.44,6.29,0.44,41.4,247.1,Phone,Medium,E,Dineo,Vivaan,Tsepo,Chilli,Bongani,Jeff,No,,,,,,,,
3526,31/03/2018,15:22:53,39.4,0.63,3.12,0.51,6.53,0.51,28.1,245.9,App,Medium,B,Dineo,Vivaan,Tsepo,Chilli,Bongani,Mary,No,,,,,,,,
3527,31/03/2018,15:24:09,42.9,0.73,3.67,0.53,7.33,0.53,30.2,296.8,App,Family,E,Dineo,Vivaan,Tsepo,Wasabi,Bongani,Kone,No,,,,,,,,
3528,31/03/2018,15:27:45,47.4,0.76,3.43,0.60,6.85,0.60,35.2,242.9,App,Medium,A,Dineo,Vivaan,Tsepo,Chilli,Bongani,Jeff,No,,,,,,,,
3529,31/03/2018,15:32:30,41.4,0.77,3.30,0.46,6.81,0.46,29.6,275.6,App,Large,C,Dineo,Vivaan,Tsepo,Curry,Bongani,Mary,No,,,,,,,,
3530,31/03/2018,15:43:38,53.2,0.65,3.46,0.68,7.13,0.68,40.6,290.7,App,Family,A,Dineo,Vivaan,Tsepo,Wasabi,Bongani,Kone,No,,,,,,,,
3531,31/03/2018,15:46:09,46.7,0.77,3.42,0.59,7.51,0.59,33.8,290.6,App,Family,A,Dineo,Vivaan,Tsepo,Wasabi,Bongani,Jeff,No,,,,,,,,
3532,31/03/2018,15:56:12,46.9,1.03,3.49,0.45,7.31,0.45,34.2,293.5,Phone,Family,B,Dineo,Vivaan,Tsepo,Wasabi,Bongani,Mary,No,,,,,,,,
3533,31/03/2018,15:57:29,41.3,0.87,3.16,0.52,6.54,0.52,29.6,245.8,App,Small,B,Dineo,Vivaan,Tsepo,Chilli,Bongani,Kone,No,,,,,,,,
3534,31/03/2018,15:58:16,59.4,0.93,3.20,0.57,6.58,0.57,47.5,243.1,Phone,Medium,A,Dineo,Vivaan,Tsepo,Chilli,Bongani,Jeff,No,,,,,,,,
3535,31/03/2018,16:05:38,51.8,0.74,3.21,0.42,6.43,0.42,40.6,239.4,Phone,Small,E,Dineo,Vivaan,Tsepo,Chilli,Bongani,Mary,No,,,,,,,,
3536,31/03/2018,16:08:28,44.0,0.85,3.40,0.44,7.14,0.44,31.8,284.8,Phone,Family,B,Dineo,Vivaan,Tsepo,Wasabi,Bongani,Kone,No,,,,,,,,
3537,31/03/2018,16:11:56,42.0,1.06,3.39,0.45,6.38,0.45,30.3,252.0,Phone,Medium,E,Dineo,Vivaan,Tsepo,Chilli,Bongani,Jeff,No,,,,,,,,
3538,31/03/2018,16:13:44,49.6,0.71,3.09,0.41,6.12,0.41,38.8,246.6,App,Small,E,Dineo,Vivaan,Tsepo,Chilli,Bongani,Mary,No,,,,,,,,
3539,31/03/2018,16:15:50,42.3,0.75,3.15,0.55,6.31,0.55,31.0,244.1,Phone,Small,A,Dineo,Vivaan,Tsepo,Chilli,Bongani,Kone,No,,,,,,,,
3540,31/03/2018,16:18:56,44.0,0.97,3.57,0.44,7.08,0.44,31.5,286.2,App,Family,A,Dineo,Vivaan,Tsepo,Wasabi,Bongani,Jeff,No,,,,,,,,
3541,31/03/2018,16:18:59,39.9,0.76,3.29,0.47,7.00,0.47,27.9,280.5,App,Large,B,Dineo,Vivaan,Tsepo,Curry,Bongani,Mary,No,,,,,,,,
3542,31/03/2018,16:21:55,41.7,0.79,3.21,0.66,6.55,0.66,29.8,246.2,Email,Medium,D,Dineo,Vivaan,Tsepo,Chilli,Bongani,Kone,No,,,,,,,,
3543,31/03/2018,16:28:05,45.6,0.70,3.29,0.50,6.12,0.50,34.5,248.8,App,Small,C,Dineo,Vivaan,Tsepo,Chilli,Bongani,Jeff,yes,Wrong topping,,,,,,,
3544,31/03/2018,16:32:08,50.3,0.62,3.27,0.55,6.47,0.55,38.9,244.5,Phone,Medium,E,Dineo,Vivaan,Tsepo,Chilli,Bongani,Mary,No,,,,,,,,
3545,31/03/2018,16:35:18,43.3,0.69,3.25,0.57,7.14,0.57,31.1,274.7,App,Large,E,Dineo,Vivaan,Tsepo,Curry,Bongani,Kone,No,,,,,,,,
3546,31/03/2018,16:50:19,53.3,0.75,3.38,0.53,6.67,0.53,41.4,248.7,Phone,Medium,E,Dineo,Vivaan,Tsepo,Chilli,Bongani,Jeff,No,,,,,,,,
3547,31/03/2018,16:52:33,50.9,1.08,3.22,0.35,6.46,0.35,39.4,248.8,Phone,Small,A,Dineo,Vivaan,Tsepo,Chilli,Bongani,Mary,No,,,,,,,,
3548,31/03/2018,16:54:19,40.6,1.05,3.45,0.56,6.70,0.56,28.3,278.4,App,Large,B,Dineo,Vivaan,Tsepo,Curry,Bongani,Kone,No,,,,,,,,
3549,31/03/2018,16:54:26,41.2,0.59,3.35,0.57,6.63,0.57,29.5,240.7,Phone,Medium,B,Dineo,Vivaan,Tsepo,Chilli,Bongani,Jeff,No,,,,,,,,
3550,31/03/2018,16:59:53,42.9,0.85,3.29,0.66,6.63,0.66,30.8,245.9,Phone,Medium,A,Dineo,Vivaan,Tsepo,Chilli,Bongani,Mary,No,,,,,,,,
3551,31/03/2018,17:02:14,48.3,0.43,3.33,0.50,6.56,0.50,37.0,249.4,Phone,Small,E,Dineo,Vivaan,Tsepo,Chilli,Bongani,Kone,No,,,,,,,,
1339,15/03/2018,17:33:55,42.7,0.88,3.54,0.41,6.88,0.41,30.6,268.0,Phone,Large,A,Maria,Vivaan,Tsepo,Curry,Bongani,Mary,yes,Late delivery,,,,,,,
3553,31/03/2018,17:10:45,32.6,0.50,3.25,0.49,6.39,0.49,21.4,243.3,App,Small,C,Dineo,Vivaan,Tsepo,Chilli,Bongani,Mary,No,,,,,,,,
3554,31/03/2018,17:11:47,44.3,0.69,3.48,0.43,7.18,0.43,32.1,276.9,Phone,Large,A,Dineo,Vivaan,Tsepo,Curry,Bongani,Kone,No,,,,,,,,
3555,31/03/2018,17:24:18,41.7,0.50,3.17,0.51,6.44,0.51,30.6,249.5,Email,Small,D,Dineo,Vivaan,Tsepo,Chilli,Bongani,Jeff,No,,,,,,,,
3556,31/03/2018,17:29:24,47.7,0.70,3.29,0.34,6.72,0.34,36.3,281.7,App,Large,E,Dineo,Vivaan,Tsepo,Curry,Bongani,Mary,No,,,,,,,,
3557,31/03/2018,17:31:03,38.9,0.99,3.47,0.59,6.94,0.59,26.4,281.6,Email,Large,B,Dineo,Vivaan,Tsepo,Curry,Bongani,Kone,No,,,,,,,,
3558,31/03/2018,17:32:48,45.9,0.71,3.34,0.47,6.56,0.47,34.4,247.8,Phone,Medium,E,Dineo,Vivaan,Tsepo,Chilli,Bongani,Jeff,No,,,,,,,,
3559,31/03/2018,17:33:29,41.8,0.70,3.27,0.39,6.37,0.39,30.7,242.4,Phone,Small,E,Dineo,Vivaan,Tsepo,Chilli,Bongani,Mary,No,,,,,,,,
3042,28/03/2018,17:47:09,42.7,0.62,3.32,0.48,6.79,0.48,31.0,244.2,App,Medium,A,Maria,Tau,Tsepo,Chilli,Rohan,Jeff,yes,Late delivery,,,,,,,
3561,31/03/2018,17:47:51,50.1,0.51,3.49,0.41,7.25,0.41,38.0,290.0,Phone,Family,A,Dineo,Vivaan,Tsepo,Wasabi,Bongani,Jeff,No,,,,,,,,
3562,31/03/2018,17:48:04,45.1,0.46,3.54,0.61,7.16,0.61,32.7,289.8,Phone,Family,B,Dineo,Vivaan,Tsepo,Wasabi,Bongani,Mary,No,,,,,,,,
3563,31/03/2018,17:48:16,42.9,0.76,3.40,0.53,7.04,0.53,30.6,279.6,Phone,Large,B,Dineo,Vivaan,Tsepo,Curry,Bongani,Kone,No,,,,,,,,
3564,31/03/2018,17:59:58,45.7,0.57,3.56,0.47,7.36,0.47,33.3,296.2,App,Family,E,Dineo,Vivaan,Tsepo,Wasabi,Bongani,Jeff,No,,,,,,,,
3565,31/03/2018,18:00:22,51.9,0.81,3.53,0.48,7.24,0.48,39.3,280.8,Phone,Large,E,Dineo,Vivaan,Jim,Curry,Bongani,Mary,No,,,,,,,,
3566,31/03/2018,18:06:05,51.3,0.92,3.47,0.38,6.85,0.38,39.3,280.0,App,Large,A,Dineo,Vivaan,Jim,Curry,Bongani,Kone,No,,,,,,,,
3034,28/03/2018,17:18:17,42.7,0.74,3.59,0.45,7.17,0.45,30.3,289.0,Phone,Family,B,Maria,Tau,Tsepo,Wasabi,Rohan,Rita,yes,Late delivery,,,,,,,
3568,31/03/2018,18:14:04,40.8,0.84,3.31,0.43,6.76,0.43,29.0,285.8,App,Large,B,Dineo,Vivaan,Jim,Curry,Bongani,Mary,No,,,,,,,,
3569,31/03/2018,18:22:18,43.2,0.46,3.36,0.44,7.19,0.44,31.3,300.2,App,Family,D,Dineo,Vivaan,Jim,Wasabi,Bongani,Kone,No,,,,,,,,
3570,31/03/2018,18:24:13,39.7,0.73,3.41,0.61,7.26,0.61,27.1,287.1,App,Family,C,Dineo,Vivaan,Jim,Wasabi,Bongani,Jeff,No,,,,,,,,
3571,31/03/2018,18:30:15,49.8,0.69,3.52,0.44,7.33,0.44,37.4,297.9,Phone,Family,E,Dineo,Vivaan,Jim,Wasabi,Bongani,Mary,No,,,,,,,,
3572,31/03/2018,18:30:50,50.7,0.62,3.49,0.51,7.20,0.51,38.4,289.8,App,Family,E,Dineo,Vivaan,Jim,Wasabi,Bongani,Kone,No,,,,,,,,
3573,31/03/2018,18:31:40,47.9,0.95,3.42,0.34,6.31,0.34,36.5,248.6,Phone,Small,E,Dineo,Vivaan,Jim,Chilli,Bongani,Jeff,No,,,,,,,,
3574,31/03/2018,18:34:50,43.6,0.51,3.33,0.58,6.79,0.58,31.8,246.8,Phone,Medium,A,Dineo,Vivaan,Jim,Chilli,Bongani,Mary,No,,,,,,,,
3575,31/03/2018,18:38:06,45.9,0.77,3.07,0.55,6.51,0.55,34.4,241.3,App,Small,E,Dineo,Vivaan,Jim,Chilli,Bongani,Kone,yes,Too Doughy,,,,,,,
3576,31/03/2018,18:38:40,43.9,0.85,3.13,0.43,6.24,0.43,32.9,241.8,App,Small,E,Dineo,Vivaan,Jim,Chilli,Bongani,Jeff,yes,Too Doughy,,,,,,,
3577,31/03/2018,18:40:59,46.2,0.80,3.12,0.44,7.50,0.44,33.9,288.0,App,Family,E,Dineo,Vivaan,Jim,Wasabi,Bongani,Mary,No,,,,,,,,
3578,31/03/2018,18:41:27,35.9,0.63,3.33,0.55,6.80,0.55,24.0,281.2,Phone,Large,A,Dineo,Vivaan,Jim,Curry,Bongani,Kone,No,,,,,,,,
3579,31/03/2018,18:42:11,39.5,0.73,3.58,0.49,6.85,0.49,27.3,282.3,App,Large,B,Dineo,Vivaan,Jim,Curry,Bongani,Jeff,No,,,,,,,,
3580,31/03/2018,18:43:07,48.8,0.99,3.40,0.58,6.67,0.58,36.5,276.8,App,Large,B,Dineo,Vivaan,Jim,Curry,Bongani,Mary,No,,,,,,,,
3581,31/03/2018,18:43:21,38.9,0.84,3.20,0.45,6.93,0.45,27.0,278.4,Phone,Large,A,Dineo,Vivaan,Jim,Curry,Bongani,Kone,No,,,,,,,,
3582,31/03/2018,18:51:14,48.4,0.72,3.42,0.37,6.28,0.37,37.3,248.4,Phone,Small,E,Dineo,Vivaan,Jim,Chilli,Bongani,Sei,yes,Too Doughy,,,,,,,
3583,31/03/2018,18:55:06,41.9,0.78,3.38,0.56,6.91,0.56,29.7,272.2,Phone,Large,D,Dineo,Vivaan,Jim,Curry,Bongani,Lebo,No,,,,,,,,
3584,31/03/2018,18:55:24,55.4,0.64,3.53,0.53,6.92,0.53,43.3,274.9,App,Large,C,Dineo,Vivaan,Jim,Curry,Bongani,Rita,No,,,,,,,,
3585,31/03/2018,18:56:10,47.2,0.61,3.29,0.42,7.04,0.42,35.4,276.8,App,Large,A,Dineo,Vivaan,Jim,Chilli,Bongani,Sei,yes,Too Doughy,,,,,,,
3586,31/03/2018,18:57:51,42.4,0.75,3.44,0.40,6.55,0.40,30.9,287.3,Phone,Family,D,Dineo,Vivaan,Jim,Chilli,Bongani,Lebo,yes,Too Doughy,,,,,,,
3587,31/03/2018,18:58:01,44.5,0.82,3.40,0.60,6.18,0.60,32.9,287.9,Phone,Family,E,Dineo,Vivaan,Jim,Chilli,Bongani,Rita,yes,Too Doughy,,,,,,,
3588,31/03/2018,18:58:56,39.7,0.76,3.54,0.45,6.20,0.45,28.3,289.1,App,Family,B,Dineo,Vivaan,Jim,Chilli,Bongani,Sei,yes,Too Doughy,,,,,,,
3589,31/03/2018,19:02:17,48.0,0.59,3.32,0.50,6.53,0.50,36.5,292.9,Phone,Family,E,Dineo,Vivaan,Jim,Chilli,Bongani,Lebo,yes,Too Doughy,,,,,,,
3590,31/03/2018,19:07:14,49.7,0.84,3.33,0.66,7.42,0.66,36.8,288.6,App,Family,E,Dineo,Vivaan,Jim,Wasabi,Bongani,Rita,No,,,,,,,,
3591,31/03/2018,19:07:58,36.6,0.85,3.39,0.51,6.62,0.51,24.7,244.8,App,Small,A,Dineo,Vivaan,Jim,Chilli,Bongani,Sei,yes,Too Doughy,,,,,,,
3592,31/03/2018,19:12:57,39.4,0.67,3.28,0.59,6.91,0.59,27.3,243.2,Phone,Medium,A,Dineo,Vivaan,Jim,Chilli,Bongani,Lebo,No,,,,,,,,
3593,31/03/2018,19:13:54,41.3,0.78,3.29,0.47,6.30,0.47,30.1,243.9,App,Small,B,Dineo,Vivaan,Jim,Chilli,Bongani,Rita,yes,Too Doughy,,,,,,,
3594,31/03/2018,19:23:50,39.4,0.79,3.21,0.43,6.21,0.43,28.3,248.8,App,Medium,B,Dineo,Vivaan,Jim,Chilli,Bongani,Sei,No,,,,,,,,
3595,31/03/2018,19:24:48,41.2,0.91,3.32,0.48,6.59,0.48,29.4,246.6,Phone,Medium,E,Dineo,Vivaan,Jim,Chilli,Bongani,Lebo,No,,,,,,,,
3596,31/03/2018,19:25:21,47.3,0.78,3.35,0.58,6.83,0.58,35.2,279.8,App,Large,E,Dineo,Vivaan,Jim,Curry,Bongani,Rita,No,,,,,,,,
3597,31/03/2018,19:26:56,42.5,0.71,3.57,0.41,7.38,0.41,30.0,284.1,Phone,Family,A,Dineo,Vivaan,Jim,Wasabi,Bongani,Sei,No,,,,,,,,
3598,31/03/2018,19:28:35,41.0,0.69,3.34,0.44,7.00,0.44,29.1,290.2,Phone,Family,A,Dineo,Vivaan,Jim,Wasabi,Bongani,Lebo,No,,,,,,,,
3599,31/03/2018,19:31:45,45.9,0.77,3.40,0.50,7.24,0.50,33.5,288.4,App,Family,C,Dineo,Vivaan,Jim,Wasabi,Bongani,Rita,No,,,,,,,,
3600,31/03/2018,19:31:56,56.1,0.61,3.36,0.54,6.44,0.54,44.6,243.6,Phone,Small,E,Dineo,Vivaan,Jim,Chilli,Bongani,Sei,No,,,,,,,,
3601,31/03/2018,19:44:59,45.3,0.51,3.42,0.34,7.21,0.34,33.5,281.8,Phone,Family,E,Dineo,Vivaan,Jim,Wasabi,Bongani,Lebo,No,,,,,,,,
3602,31/03/2018,19:49:48,49.3,0.92,3.23,0.45,6.59,0.45,37.6,244.4,App,Small,E,Dineo,Vivaan,Jim,Chilli,Bongani,Rita,No,,,,,,,,
3603,31/03/2018,19:56:32,39.3,0.98,3.46,0.37,7.38,0.37,26.7,290.7,App,Family,A,Dineo,Vivaan,Jim,Wasabi,Bongani,Sei,No,,,,,,,,
3604,31/03/2018,19:59:39,41.7,0.67,3.77,0.57,7.47,0.57,28.6,280.5,Phone,Family,B,Dineo,Vivaan,Jim,Wasabi,Bongani,Lebo,No,,,,,,,,
3605,31/03/2018,20:09:10,38.8,0.79,3.25,0.32,7.32,0.32,26.8,282.8,App,Large,B,Dineo,Vivaan,Jim,Curry,Bongani,Rita,No,,,,,,,,
3606,31/03/2018,20:12:01,36.1,0.87,3.06,0.54,6.32,0.54,24.8,242.8,App,Small,A,Dineo,Vivaan,Jim,Chilli,Bongani,Sei,No,,,,,,,,
3607,31/03/2018,20:14:44,52.8,0.72,3.37,0.37,7.04,0.37,40.9,294.0,App,Family,E,Dineo,Vivaan,Jim,Wasabi,Bongani,Lebo,No,,,,,,,,
3608,31/03/2018,20:18:09,41.4,0.52,3.35,0.36,6.48,0.36,30.3,243.4,Phone,Medium,D,Dineo,Vivaan,Jim,Chilli,Bongani,Rita,No,,,,,,,,
3609,31/03/2018,20:18:28,40.9,0.64,3.37,0.39,7.33,0.39,28.8,283.9,App,Family,C,Dineo,Vivaan,Jim,Wasabi,Bongani,Sei,No,,,,,,,,
3610,31/03/2018,20:28:10,39.5,0.65,3.31,0.60,6.67,0.60,27.7,242.1,App,Medium,A,Dineo,Vivaan,Jim,Chilli,Bongani,Lebo,No,,,,,,,,
3611,31/03/2018,20:32:27,44.2,0.60,3.29,0.60,7.11,0.60,32.0,293.4,Phone,Family,D,Dineo,Vivaan,Jim,Wasabi,Bongani,Rita,No,,,,,,,,
3612,31/03/2018,20:33:36,45.5,0.74,3.41,0.61,6.97,0.61,33.2,273.6,App,Large,E,Dineo,Vivaan,Jim,Curry,Bongani,Sei,No,,,,,,,,
3613,31/03/2018,20:35:53,42.4,0.70,3.43,0.45,7.41,0.45,30.0,285.7,App,Family,B,Dineo,Vivaan,Jim,Wasabi,Bongani,Lebo,No,,,,,,,,
3614,31/03/2018,20:50:54,51.1,0.88,3.26,0.40,6.60,0.40,39.6,243.3,Phone,Medium,E,Dineo,Vivaan,Jim,Chilli,Bongani,Rita,No,,,,,,,,
